Date,State,Confirmed,Recovered,Deceased,Active,Daily New,7-Day Avg
2020-03-01,Bihar,590.0,578.0,4,8.0,0.0,
2020-03-02,Bihar,1283.0,929.0,13,341.0,693.0,
2020-03-03,Bihar,1900.0,1042.0,13,845.0,617.0,
2020-03-04,Bihar,2068.0,1135.0,13,920.0,168.0,
2020-03-05,Bihar,2621.0,1392.0,13,1216.0,553.0,
2020-03-06,Bihar,3369.0,2055.0,13,1301.0,748.0,
2020-03-07,Bihar,4031.0,2331.0,13,1687.0,662.0,491.57142857142856
2020-03-08,Bihar,4271.0,2337.0,13,1921.0,240.0,525.8571428571429
2020-03-09,Bihar,5146.0,3051.0,13,2082.0,875.0,551.8571428571429
2020-03-10,Bihar,5937.0,3093.0,13,2831.0,791.0,576.7142857142857
2020-03-11,Bihar,6427.0,3505.0,13,2909.0,490.0,622.7142857142857
2020-03-12,Bihar,6953.0,3941.0,13,2999.0,526.0,618.8571428571429
2020-03-13,Bihar,7290.0,4267.0,13,3010.0,337.0,560.1428571428571
2020-03-14,Bihar,7490.0,4405.0,13,3072.0,200.0,494.14285714285717
2020-03-15,Bihar,7666.0,4406.0,13,3247.0,176.0,485.0
2020-03-16,Bihar,8195.0,4526.0,13,3656.0,529.0,435.57142857142856
2020-03-17,Bihar,8204.0,4535.0,14,3655.0,9.0,323.85714285714283
2020-03-18,Bihar,8572.0,4856.0,14,3702.0,368.0,306.42857142857144
2020-03-19,Bihar,8593.0,4870.0,14,3709.0,21.0,234.28571428571428
2020-03-20,Bihar,9310.0,5203.0,14,4093.0,717.0,288.57142857142856
2020-03-21,Bihar,9790.0,5510.0,14,4266.0,480.0,328.57142857142856
2020-03-22,Bihar,9941.0,5649.0,14,4278.0,151.0,325.0
2020-03-23,Bihar,0.0,5982.0,14,-5996.0,-9941.0,-1170.7142857142858
2020-03-24,Bihar,11632.0,0.0,14,11618.0,11632.0,489.7142857142857
2020-03-25,Bihar,12551.0,6805.0,14,5732.0,919.0,568.4285714285714
