Date,State,Confirmed,Recovered,Deceased
2020-03-01,Maharashtra,788,584.0,0
2020-03-02,Maharashtra,1006,653.0,0
2020-03-03,Maharashtra,1768,906.0,0
2020-03-04,Maharashtra,2264,930.0,0
2020-03-05,Maharashtra,2791,1072.0,0
2020-03-06,Maharashtra,3499,1201.0,0
2020-03-07,Maharashtra,4149,1448.0,0
2020-03-08,Maharashtra,4756,1832.0,0
2020-03-09,Maharashtra,5369,1975.0,0
2020-03-10,Maharashtra,5952,2349.0,0
2020-03-11,Maharashtra,6511,2517.0,0
2020-03-12,Maharashtra,7278,2671.0,0
2020-03-13,Maharashtra,7681,3071.0,-1
2020-03-14,Maharashtra,8493,3790.0,0
2020-03-15,Maharashtra,9032,4300.0,0
2020-03-16,Maharashtra,9487,4564.0,0
2020-03-17,Maharashtra,10148,4948.0,0
2020-03-18,Maharashtra,10968,5634.0,0
2020-03-19,Maharashtra,11905,5895.0,0
2020-03-20,Maharashtra,12167,6154.0,7
2020-03-21,Maharashtra,12553,6529.0,7
2020-03-22,Maharashtra,12971,6936.0,7
2020-03-23,Maharashtra,13375,7279.0,7
2020-03-24,,13938,7827.0,7
2020-03-25,Maharashtra,14620,8016.0,7
2020-03-26,Maharashtra,14627,8016.0,7
2020-03-27,Maharashtra,15173,8323.0,7
2020-03-28,Maharashtra,15614,8511.0,7
2020-03-29,Maharashtra,16053,8867.0,7
2020-03-30,Maharashtra,16684,9122.0,11
2020-03-31,Maharashtra,16857,9148.0,11
2020-04-01,Maharashtra,17499,9740.0,11
2020-04-02,Maharashtra,17501,9740.0,11
2020-04-03,Maharashtra,17517,9745.0,11
2020-04-04,Maharashtra,17999,10007.0,11
2020-04-05,Maharashtra,18602,10226.0,11
2020-04-06,Maharashtra,19499,11119.0,11
2020-04-07,Maharashtra,20236,11446.0,11
2020-04-08,Maharashtra,20723,11905.0,11
2020-04-09,Maharashtra,20879,12004.0,11
2020-04-10,Maharashtra,21848,12338.0,11
2020-04-11,Maharashtra,22648,12961.0,11
2020-04-12,Maharashtra,22900,13029.0,11
2020-04-13,Maharashtra,23062,13181.0,16
2020-04-14,Maharashtra,23257,13256.0,21
2020-04-15,Maharashtra,23558,13259.0,21
2020-04-16,Maharashtra,23835,13499.0,21
2020-04-17,Maharashtra,unknown,13508.0,21
2020-04-18,Maharashtra,24556,13838.0,21
2020-04-19,Maharashtra,24885,,21
2020-04-20,Maharashtra,25497,14441.0,21
2020-04-21,Maharashtra,26167,14555.0,21
2020-04-22,Maharashtra,26583,14935.0,21
2020-04-23,Maharashtra,27487,15549.0,21
2020-04-24,Maharashtra,28309,15984.0,21
2020-04-25,Maharashtra,28435,16021.0,21
2020-04-26,Maharashtra,29072,16342.0,27
